ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,OutletSales
FD,11.35,reg,0.023318068,Dairy,182.4608,35,20,Small,Tier 2,Supermarket Type1,7534.1928
FD,12.85,lf,0.033314389,Snack Foods,171.6422,18,15,Medium,Tier 3,Supermarket Type2,3276.4018
FD,13.42606890459364,reg,0.037962696,Dairy,97.5726,27,39,Medium,Tier 3,Supermarket Type3,978.726
FD,17.35,reg,0.146895866,Seafood,149.605,18,15,Medium,Tier 3,Supermarket Type2,3745.125
FD,9.6,reg,0.027386122,Snack Foods,259.2304,49,25,Medium,Tier 1,Supermarket Type1,4649.9472
FD,20.2,reg,0.121940099,Snack Foods,95.3752,17,17,Small,Tier 2,Supermarket Type1,1150.5024
FD,19.0,reg,0.065633934,Fruits and Vegetables,186.5214,46,27,Small,Tier 1,Supermarket Type1,2261.0568
FD,5.985,lf,0.095989602,Frozen Foods,127.3678,45,22,Small,Tier 2,Supermarket Type1,508.6712
NC,5.945,lf,0.093214866,Household,129.1652,45,22,Small,Tier 2,Supermarket Type1,2841.6344
FD,17.85,reg,0.046599684,Fruits and Vegetables,125.1388,35,20,Small,Tier 2,Supermarket Type1,1981.4208
FD,11.35,lf,0.051564827,Snack Foods,49.0008,10,26,Small,Tier 3,Grocery Store,101.2016
FD,5.78,reg,0.0,Snack Foods,263.7568,17,17,Small,Tier 2,Supermarket Type1,2636.568
FD,12.3,lf,0.0,Snack Foods,116.4834,18,15,Medium,Tier 3,Supermarket Type2,1842.9344
NC,14.85,lf,0.061102235,Household,253.2698,45,22,Small,Tier 2,Supermarket Type1,2283.0282
FD,20.2,reg,0.097059596,Meat,178.6028,17,17,Small,Tier 2,Supermarket Type1,2302.3364
DR,18.85,lf,0.137755834,Hard Drinks,161.8578,18,15,Medium,Tier 3,Supermarket Type2,3530.0716
FD,11.65,lf,0.033926852,Seafood,111.586,45,22,Small,Tier 2,Supermarket Type1,3395.58
DR,9.695,lf,0.070843019,Hard Drinks,177.7344,17,17,Small,Tier 2,Supermarket Type1,1605.9096
NC,19.6,lf,0.041291169,Household,86.9514,46,27,Small,Tier 1,Supermarket Type1,1416.8224
FD,16.1,reg,0.063429818,Dairy,179.4318,49,25,Medium,Tier 1,Supermarket Type1,2345.6134
FD,13.69073076923077,lf,0.02573918,Starchy Foods,120.744,27,39,Medium,Tier 3,Supermarket Type3,3954.852
DR,15.7,lf,0.03067808,Hard Drinks,44.777,13,37,High,Tier 3,Supermarket Type1,605.878
FD,20.0,reg,0.104245198,Canned,105.3622,49,25,Medium,Tier 1,Supermarket Type1,1270.3464
FD,14.3,reg,0.034411238,Baking Goods,98.6726,46,27,Small,Tier 1,Supermarket Type1,782.9808
FD,17.5,lf,0.02687089,Frozen Foods,264.491,46,27,Small,Tier 1,Supermarket Type1,3681.874
FD,13.42606890459364,reg,0.084404264,Dairy,49.5376,19,39,Small,Tier 1,Grocery Store,143.8128
NC,6.235,lf,0.119345629,Household,261.991,17,17,Small,Tier 2,Supermarket Type1,2366.919
FD,13.42606890459364,reg,0.022403117,Dairy,250.9092,27,39,Medium,Tier 3,Supermarket Type3,8217.3036
FD,15.1,lf,0.025993423,Frozen Foods,147.4076,46,27,Small,Tier 1,Supermarket Type1,2808.3444
FD,12.85,lf,0.033192524,Fruits and Vegetables,199.0768,13,37,High,Tier 3,Supermarket Type1,3153.2288
